factor_name,group,subgroup,short_description,doc_id
TanBVPSA,Balance Sheet,Shareholders Equity,"Tangible Book Value (Net Tangible Assets), Annual Per Share",916
TanBVPSQ,Balance Sheet,Shareholders Equity,"Tangible Book Value (Net Tangible Assets), Quarterly Per Share",916
TanBVPTM,Balance Sheet,Shareholders Equity,"Tangible Book Value (Net Tangible Assets), Previous Trailing 12 Months",916
TanBVPY,Balance Sheet,Shareholders Equity,"Tangible Book Value (Net Tangible Assets), Previous Year",916
TanBVPYQ,Balance Sheet,Shareholders Equity,"Tangible Book Value (Net Tangible Assets), Previous Quarter 1 Year Ago",916
TanBVQ,Balance Sheet,Shareholders Equity,"Tangible Book Value (Net Tangible Assets), Latest Quarter",916
TanBVRegEstANN,Balance Sheet,Shareholders Equity,"Tangible Book Value (Net Tangible Assets), Ten Year Regression Estimate",916
TanBVRegEstTTM,Balance Sheet,Shareholders Equity,"Tangible Book Value (Net Tangible Assets), Five Year Regression Estimate",916
TanBVRegGr%ANN,Balance Sheet,Shareholders Equity,"Tangible Book Value (Net Tangible Assets), Ten Year Regression Estimate",916
TanBVRegGr%TTM,Balance Sheet,Shareholders Equity,"Tangible Book Value (Net Tangible Assets), Five Year Regression Growth",916
TanBVRSD%ANN,Balance Sheet,Shareholders Equity,"Tangible Book Value (Net Tangible Assets), Ten Year Relative Standard Deviation",916
TanBVRSD%TTM,Balance Sheet,Shareholders Equity,"Tangible Book Value (Net Tangible Assets), Five Year Relative Standard Deviation",916
TanBVTTM,Balance Sheet,Shareholders Equity,"Tangible Book Value (Net Tangible Assets), Trailing 12 Months",916
Shares3YAvg,Balance Sheet,Shares,"Common Shares, Three Year Average",1339
Shares5YAvg,Balance Sheet,Shares,"Common Shares, Five Year Average",1339
SharesA,Balance Sheet,Shares,"Common Shares, Latest Year",1339
SharesFD3YAvg,Balance Sheet,Shares,"Common Shares Fully Diluted, Three Year Average",1244
SharesFD5YAvg,Balance Sheet,Shares,"Common Shares Fully Diluted, Five Year Average",1244
SharesFDA,Balance Sheet,Shares,"Common Shares Fully Diluted, Latest Year",1244
SharesFDGr%10Y,Balance Sheet,Shares,"Common Shares Fully Diluted, Ten Year Annualized Growth",1244
SharesFDGr%3Y,Balance Sheet,Shares,"Common Shares Fully Diluted, Three Year Annualized Growth",1244
SharesFDGr%5Y,Balance Sheet,Shares,"Common Shares Fully Diluted, Five Year Annualized Growth",1244
SharesFDGr%A,Balance Sheet,Shares,"Common Shares Fully Diluted, Growth Annual",1244
SharesFDGr%PQ,Balance Sheet,Shares,"Common Shares Fully Diluted, Q vs Previous Q Growth",1244
SharesFDGr%PQTTM,Balance Sheet,Shares,"Common Shares Fully Diluted, Trailing Twelve Months Growth 1Q Ago",1244
SharesFDGr%PYQ,Balance Sheet,Shares,"Common Shares Fully Diluted, Q vs 1 year ago Q Growth",1244
SharesFDGr%TTM,Balance Sheet,Shares,"Common Shares Fully Diluted, Trailing Twelve Months Growth",1244
SharesFDPQ,Balance Sheet,Shares,"Common Shares Fully Diluted, Previous Quarter",1244
SharesFDPTM,Balance Sheet,Shares,"Common Shares Fully Diluted, Previous Trailing 12 Months",1244
SharesFDPY,Balance Sheet,Shares,"Common Shares Fully Diluted, Previous Year",1244
SharesFDPYQ,Balance Sheet,Shares,"Common Shares Fully Diluted, Previous Quarter 1 Year Ago",1244
SharesFDQ,Balance Sheet,Shares,"Common Shares Fully Diluted, Latest Quarter",1244
SharesFDRegEstANN,Balance Sheet,Shares,"Common Shares Fully Diluted, Ten Year Regression Estimate",1244
SharesFDRegEstTTM,Balance Sheet,Shares,"Common Shares Fully Diluted, Five Year Regression Estimate",1244
SharesFDRegGr%ANN,Balance Sheet,Shares,"Common Shares Fully Diluted, Ten Year Regression Estimate",1244
SharesFDRegGr%TTM,Balance Sheet,Shares,"Common Shares Fully Diluted, Five Year Regression Growth",1244
SharesFDRSD%ANN,Balance Sheet,Shares,"Common Shares Fully Diluted, Ten Year Relative Standard Deviation",1244
SharesFDRSD%TTM,Balance Sheet,Shares,"Common Shares Fully Diluted, Five Year Relative Standard Deviation",1244
SharesFDTTM,Balance Sheet,Shares,"Common Shares Fully Diluted, Trailing 12 Months",1244
SharesGr%10Y,Balance Sheet,Shares,"Common Shares, Ten Year Annualized Growth",1339
SharesGr%3Y,Balance Sheet,Shares,"Common Shares, Three Year Annualized Growth",1339
SharesGr%5Y,Balance Sheet,Shares,"Common Shares, Five Year Annualized Growth",1339
SharesGr%A,Balance Sheet,Shares,"Common Shares, Growth Annual",1339
SharesGr%PQ,Balance Sheet,Shares,"Common Shares, Q vs Previous Q Growth",1339
SharesGr%PQTTM,Balance Sheet,Shares,"Common Shares, Trailing Twelve Months Growth 1Q Ago",1339
SharesGr%PYQ,Balance Sheet,Shares,"Common Shares, Q vs 1 year ago Q Growth",1339
SharesGr%TTM,Balance Sheet,Shares,"Common Shares, Trailing Twelve Months Growth",1339
SharesPQ,Balance Sheet,Shares,"Common Shares, Previous Quarter",1339
SharesPTM,Balance Sheet,Shares,"Common Shares, Previous Trailing 12 Months",1339
SharesPY,Balance Sheet,Shares,"Common Shares, Previous Year",1339
SharesPYQ,Balance Sheet,Shares,"Common Shares, Previous Quarter 1 Year Ago",1339
SharesQ,Balance Sheet,Shares,"Common Shares, Latest Quarter",1339
SharesRegEstANN,Balance Sheet,Shares,"Common Shares, Ten Year Regression Estimate",1339
SharesRegEstTTM,Balance Sheet,Shares,"Common Shares, Five Year Regression Estimate",1339
SharesRegGr%ANN,Balance Sheet,Shares,"Common Shares, Ten Year Regression Estimate",1339
SharesRegGr%TTM,Balance Sheet,Shares,"Common Shares, Five Year Regression Growth",1339
SharesRSD%ANN,Balance Sheet,Shares,"Common Shares, Ten Year Relative Standard Deviation",1339
SharesRSD%TTM,Balance Sheet,Shares,"Common Shares, Five Year Relative Standard Deviation",1339
SharesTTM,Balance Sheet,Shares,"Common Shares, Trailing 12 Months",1339
CashFrFin%AssetsA,Cash Flow Statement,Financing,"Cash From Financing, % of Annual Assets",924
CashFrFin%AssetsQ,Cash Flow Statement,Financing,"Cash From Financing, % of Quarterly Assets",924
CashFrFin%SalesA,Cash Flow Statement,Financing,"Cash From Financing, % of Annual Sales",924
CashFrFin%SalesQ,Cash Flow Statement,Financing,"Cash From Financing, % of Quarterly Sales",924
CashFrFin3YAvg,Cash Flow Statement,Financing,"Cash From Financing, Three Year Average",924
CashFrFin5YAvg,Cash Flow Statement,Financing,"Cash From Financing, Five Year Average",924
CashFrFinA,Cash Flow Statement,Financing,"Cash From Financing, Latest Year",924
CashFrFinGr%10Y,Cash Flow Statement,Financing,"Cash From Financing, Ten Year Annualized Growth",924
CashFrFinGr%3Y,Cash Flow Statement,Financing,"Cash From Financing, Three Year Annualized Growth",924
CashFrFinGr%5Y,Cash Flow Statement,Financing,"Cash From Financing, Five Year Annualized Growth",924
CashFrFinGr%A,Cash Flow Statement,Financing,"Cash From Financing, Growth Annual",924
CashFrFinGr%PQ,Cash Flow Statement,Financing,"Cash From Financing, Q vs Previous Q Growth",924
CashFrFinGr%PQTTM,Cash Flow Statement,Financing,"Cash From Financing, Trailing Twelve Months Growth 1Q Ago",924
CashFrFinGr%PYQ,Cash Flow Statement,Financing,"Cash From Financing, Q vs 1 year ago Q Growth",924
CashFrFinGr%TTM,Cash Flow Statement,Financing,"Cash From Financing, Trailing Twelve Months Growth",924
CashFrFinPQ,Cash Flow Statement,Financing,"Cash From Financing, Previous Quarter",924
CashFrFinPSA,Cash Flow Statement,Financing,"Cash From Financing, Annual Per Share",924
CashFrFinPSQ,Cash Flow Statement,Financing,"Cash From Financing, Quarterly Per Share",924
CashFrFinPTM,Cash Flow Statement,Financing,"Cash From Financing, Previous Trailing 12 Months",924
CashFrFinPY,Cash Flow Statement,Financing,"Cash From Financing, Previous Year",924
CashFrFinPYQ,Cash Flow Statement,Financing,"Cash From Financing, Previous Quarter 1 Year Ago",924
CashFrFinQ,Cash Flow Statement,Financing,"Cash From Financing, Latest Quarter",924
CashFrFinRegEstANN,Cash Flow Statement,Financing,"Cash From Financing, Ten Year Regression Estimate",924
CashFrFinRegEstTTM,Cash Flow Statement,Financing,"Cash From Financing, Five Year Regression Estimate",924
CashFrFinRegGr%ANN,Cash Flow Statement,Financing,"Cash From Financing, Ten Year Regression Estimate",924
CashFrFinRegGr%TTM,Cash Flow Statement,Financing,"Cash From Financing, Five Year Regression Growth",924
CashFrFinRSD%ANN,Cash Flow Statement,Financing,"Cash From Financing, Ten Year Relative Standard Deviation",924
CashFrFinRSD%TTM,Cash Flow Statement,Financing,"Cash From Financing, Five Year Relative Standard Deviation",924
CashFrFinTTM,Cash Flow Statement,Financing,"Cash From Financing, Trailing 12 Months",924
ChangeDebt%AssetsA,Cash Flow Statement,Financing,"Change to Debt, % of Annual Assets",926
ChangeDebt%AssetsQ,Cash Flow Statement,Financing,"Change to Debt, % of Quarterly Assets",926
ChangeDebt%SalesA,Cash Flow Statement,Financing,"Change to Debt, % of Annual Sales",926
ChangeDebt%SalesQ,Cash Flow Statement,Financing,"Change to Debt, % of Quarterly Sales",926
ChangeDebt3YAvg,Cash Flow Statement,Financing,"Change to Debt, Three Year Average",926
ChangeDebt5YAvg,Cash Flow Statement,Financing,"Change to Debt, Five Year Average",926
ChangeDebtA,Cash Flow Statement,Financing,"Change to Debt, Latest Year",926
ChangeDebtGr%10Y,Cash Flow Statement,Financing,"Change to Debt, Ten Year Annualized Growth",926
ChangeDebtGr%3Y,Cash Flow Statement,Financing,"Change to Debt, Three Year Annualized Growth",926
ChangeDebtGr%5Y,Cash Flow Statement,Financing,"Change to Debt, Five Year Annualized Growth",926
ChangeDebtGr%A,Cash Flow Statement,Financing,"Change to Debt, Growth Annual",926
ChangeDebtGr%PQ,Cash Flow Statement,Financing,"Change to Debt, Q vs Previous Q Growth",926
ChangeDebtGr%PQTTM,Cash Flow Statement,Financing,"Change to Debt, Trailing Twelve Months Growth 1Q Ago",926
ChangeDebtGr%PYQ,Cash Flow Statement,Financing,"Change to Debt, Q vs 1 year ago Q Growth",926
ChangeDebtGr%TTM,Cash Flow Statement,Financing,"Change to Debt, Trailing Twelve Months Growth",926
ChangeDebtPQ,Cash Flow Statement,Financing,"Change to Debt, Previous Quarter",926
ChangeDebtPSA,Cash Flow Statement,Financing,"Change to Debt, Annual Per Share",926
ChangeDebtPSQ,Cash Flow Statement,Financing,"Change to Debt, Quarterly Per Share",926
ChangeDebtPTM,Cash Flow Statement,Financing,"Change to Debt, Previous Trailing 12 Months",926
ChangeDebtPY,Cash Flow Statement,Financing,"Change to Debt, Previous Year",926
ChangeDebtPYQ,Cash Flow Statement,Financing,"Change to Debt, Previous Quarter 1 Year Ago",926
ChangeDebtQ,Cash Flow Statement,Financing,"Change to Debt, Latest Quarter",926
ChangeDebtRegEstANN,Cash Flow Statement,Financing,"Change to Debt, Ten Year Regression Estimate",926
ChangeDebtRegEstTTM,Cash Flow Statement,Financing,"Change to Debt, Five Year Regression Estimate",926
ChangeDebtRegGr%ANN,Cash Flow Statement,Financing,"Change to Debt, Ten Year Regression Estimate",926
ChangeDebtRegGr%TTM,Cash Flow Statement,Financing,"Change to Debt, Five Year Regression Growth",926
ChangeDebtRSD%ANN,Cash Flow Statement,Financing,"Change to Debt, Ten Year Relative Standard Deviation",926
ChangeDebtRSD%TTM,Cash Flow Statement,Financing,"Change to Debt, Five Year Relative Standard Deviation",926
ChangeDebtTTM,Cash Flow Statement,Financing,"Change to Debt, Trailing 12 Months",926
ChangeEq%AssetsA,Cash Flow Statement,Financing,"Change to Equity, % of Annual Assets",927
ChangeEq%AssetsQ,Cash Flow Statement,Financing,"Change to Equity, % of Quarterly Assets",927
ChangeEq%SalesA,Cash Flow Statement,Financing,"Change to Equity, % of Annual Sales",927
ChangeEq%SalesQ,Cash Flow Statement,Financing,"Change to Equity, % of Quarterly Sales",927
ChangeEq3YAvg,Cash Flow Statement,Financing,"Change to Equity, Three Year Average",927
ChangeEq5YAvg,Cash Flow Statement,Financing,"Change to Equity, Five Year Average",927
ChangeEqA,Cash Flow Statement,Financing,"Change to Equity, Latest Year",927
ChangeEqGr%10Y,Cash Flow Statement,Financing,"Change to Equity, Ten Year Annualized Growth",927
ChangeEqGr%3Y,Cash Flow Statement,Financing,"Change to Equity, Three Year Annualized Growth",927
ChangeEqGr%5Y,Cash Flow Statement,Financing,"Change to Equity, Five Year Annualized Growth",927
ChangeEqGr%A,Cash Flow Statement,Financing,"Change to Equity, Growth Annual",927
ChangeEqGr%PQ,Cash Flow Statement,Financing,"Change to Equity, Q vs Previous Q Growth",927
ChangeEqGr%PQTTM,Cash Flow Statement,Financing,"Change to Equity, Trailing Twelve Months Growth 1Q Ago",927
ChangeEqGr%PYQ,Cash Flow Statement,Financing,"Change to Equity, Q vs 1 year ago Q Growth",927
ChangeEqGr%TTM,Cash Flow Statement,Financing,"Change to Equity, Trailing Twelve Months Growth",927
ChangeEqPQ,Cash Flow Statement,Financing,"Change to Equity, Previous Quarter",927
ChangeEqPSA,Cash Flow Statement,Financing,"Change to Equity, Annual Per Share",927
ChangeEqPSQ,Cash Flow Statement,Financing,"Change to Equity, Quarterly Per Share",927
ChangeEqPTM,Cash Flow Statement,Financing,"Change to Equity, Previous Trailing 12 Months",927
ChangeEqPY,Cash Flow Statement,Financing,"Change to Equity, Previous Year",927
ChangeEqPYQ,Cash Flow Statement,Financing,"Change to Equity, Previous Quarter 1 Year Ago",927
ChangeEqQ,Cash Flow Statement,Financing,"Change to Equity, Latest Quarter",927
ChangeEqRegEstANN,Cash Flow Statement,Financing,"Change to Equity, Ten Year Regression Estimate",927
ChangeEqRegEstTTM,Cash Flow Statement,Financing,"Change to Equity, Five Year Regression Estimate",927
ChangeEqRegGr%ANN,Cash Flow Statement,Financing,"Change to Equity, Ten Year Regression Estimate",927
ChangeEqRegGr%TTM,Cash Flow Statement,Financing,"Change to Equity, Five Year Regression Growth",927
ChangeEqRSD%ANN,Cash Flow Statement,Financing,"Change to Equity, Ten Year Relative Standard Deviation",927
ChangeEqRSD%TTM,Cash Flow Statement,Financing,"Change to Equity, Five Year Relative Standard Deviation",927
ChangeEqTTM,Cash Flow Statement,Financing,"Change to Equity, Trailing 12 Months",927
DbtLTIssued%AssetsA,Cash Flow Statement,Financing,"Long Term Debt Issued, % of Annual Assets",928
DbtLTIssued%AssetsQ,Cash Flow Statement,Financing,"Long Term Debt Issued, % of Quarterly Assets",928
DbtLTIssued%SalesA,Cash Flow Statement,Financing,"Long Term Debt Issued, % of Annual Sales",928
DbtLTIssued%SalesQ,Cash Flow Statement,Financing,"Long Term Debt Issued, % of Quarterly Sales",928
DbtLTIssued3YAvg,Cash Flow Statement,Financing,"Long Term Debt Issued, Three Year Average",928
DbtLTIssued5YAvg,Cash Flow Statement,Financing,"Long Term Debt Issued, Five Year Average",928
DbtLTIssuedA,Cash Flow Statement,Financing,"Long Term Debt Issued, Latest Year",928
DbtLTIssuedGr%10Y,Cash Flow Statement,Financing,"Long Term Debt Issued, Ten Year Annualized Growth",928
DbtLTIssuedGr%3Y,Cash Flow Statement,Financing,"Long Term Debt Issued, Three Year Annualized Growth",928
DbtLTIssuedGr%5Y,Cash Flow Statement,Financing,"Long Term Debt Issued, Five Year Annualized Growth",928
DbtLTIssuedGr%A,Cash Flow Statement,Financing,"Long Term Debt Issued, Growth Annual",928
DbtLTIssuedGr%PQ,Cash Flow Statement,Financing,"Long Term Debt Issued, Q vs Previous Q Growth",928
DbtLTIssuedGr%PQTTM,Cash Flow Statement,Financing,"Long Term Debt Issued, Trailing Twelve Months Growth 1Q Ago",928
DbtLTIssuedGr%PYQ,Cash Flow Statement,Financing,"Long Term Debt Issued, Q vs 1 year ago Q Growth",928
DbtLTIssuedGr%TTM,Cash Flow Statement,Financing,"Long Term Debt Issued, Trailing Twelve Months Growth",928
DbtLTIssuedPQ,Cash Flow Statement,Financing,"Long Term Debt Issued, Previous Quarter",928
DbtLTIssuedPSA,Cash Flow Statement,Financing,"Long Term Debt Issued, Annual Per Share",928
DbtLTIssuedPSQ,Cash Flow Statement,Financing,"Long Term Debt Issued, Quarterly Per Share",928
DbtLTIssuedPTM,Cash Flow Statement,Financing,"Long Term Debt Issued, Previous Trailing 12 Months",928
DbtLTIssuedPY,Cash Flow Statement,Financing,"Long Term Debt Issued, Previous Year",928
DbtLTIssuedPYQ,Cash Flow Statement,Financing,"Long Term Debt Issued, Previous Quarter 1 Year Ago",928
DbtLTIssuedQ,Cash Flow Statement,Financing,"Long Term Debt Issued, Latest Quarter",928
DbtLTIssuedRegEstANN,Cash Flow Statement,Financing,"Long Term Debt Issued, Ten Year Regression Estimate",928
DbtLTIssuedRegEstTTM,Cash Flow Statement,Financing,"Long Term Debt Issued, Five Year Regression Estimate",928
DbtLTIssuedRegGr%ANN,Cash Flow Statement,Financing,"Long Term Debt Issued, Ten Year Regression Estimate",928
DbtLTIssuedRegGr%TTM,Cash Flow Statement,Financing,"Long Term Debt Issued, Five Year Regression Growth",928
DbtLTIssuedRSD%ANN,Cash Flow Statement,Financing,"Long Term Debt Issued, Ten Year Relative Standard Deviation",928
DbtLTIssuedRSD%TTM,Cash Flow Statement,Financing,"Long Term Debt Issued, Five Year Relative Standard Deviation",928
DbtLTIssuedTTM,Cash Flow Statement,Financing,"Long Term Debt Issued, Trailing 12 Months",928
DbtLTReduced%AssetsA,Cash Flow Statement,Financing,"Long Term Debt Reduced, % of Annual Assets",929
DbtLTReduced%AssetsQ,Cash Flow Statement,Financing,"Long Term Debt Reduced, % of Quarterly Assets",929
DbtLTReduced%SalesA,Cash Flow Statement,Financing,"Long Term Debt Reduced, % of Annual Sales",929
DbtLTReduced%SalesQ,Cash Flow Statement,Financing,"Long Term Debt Reduced, % of Quarterly Sales",929
DbtLTReduced3YAvg,Cash Flow Statement,Financing,"Long Term Debt Reduced, Three Year Average",929
DbtLTReduced5YAvg,Cash Flow Statement,Financing,"Long Term Debt Reduced, Five Year Average",929
DbtLTReducedA,Cash Flow Statement,Financing,"Long Term Debt Reduced, Latest Year",929
DbtLTReducedGr%10Y,Cash Flow Statement,Financing,"Long Term Debt Reduced, Ten Year Annualized Growth",929
DbtLTReducedGr%3Y,Cash Flow Statement,Financing,"Long Term Debt Reduced, Three Year Annualized Growth",929
DbtLTReducedGr%5Y,Cash Flow Statement,Financing,"Long Term Debt Reduced, Five Year Annualized Growth",929
DbtLTReducedGr%A,Cash Flow Statement,Financing,"Long Term Debt Reduced, Growth Annual",929
DbtLTReducedGr%PQ,Cash Flow Statement,Financing,"Long Term Debt Reduced, Q vs Previous Q Growth",929
DbtLTReducedGr%PQTTM,Cash Flow Statement,Financing,"Long Term Debt Reduced, Trailing Twelve Months Growth 1Q Ago",929
DbtLTReducedGr%PYQ,Cash Flow Statement,Financing,"Long Term Debt Reduced, Q vs 1 year ago Q Growth",929
DbtLTReducedGr%TTM,Cash Flow Statement,Financing,"Long Term Debt Reduced, Trailing Twelve Months Growth",929
DbtLTReducedPQ,Cash Flow Statement,Financing,"Long Term Debt Reduced, Previous Quarter",929
DbtLTReducedPSA,Cash Flow Statement,Financing,"Long Term Debt Reduced, Annual Per Share",929
DbtLTReducedPSQ,Cash Flow Statement,Financing,"Long Term Debt Reduced, Quarterly Per Share",929
DbtLTReducedPTM,Cash Flow Statement,Financing,"Long Term Debt Reduced, Previous Trailing 12 Months",929
DbtLTReducedPY,Cash Flow Statement,Financing,"Long Term Debt Reduced, Previous Year",929
DbtLTReducedPYQ,Cash Flow Statement,Financing,"Long Term Debt Reduced, Previous Quarter 1 Year Ago",929
DbtLTReducedQ,Cash Flow Statement,Financing,"Long Term Debt Reduced, Latest Quarter",929
DbtLTReducedRegEstANN,Cash Flow Statement,Financing,"Long Term Debt Reduced, Ten Year Regression Estimate",929
DbtLTReducedRegEstTTM,Cash Flow Statement,Financing,"Long Term Debt Reduced, Five Year Regression Estimate",929
DbtLTReducedRegGr%ANN,Cash Flow Statement,Financing,"Long Term Debt Reduced, Ten Year Regression Estimate",929
DbtLTReducedRegGr%TTM,Cash Flow Statement,Financing,"Long Term Debt Reduced, Five Year Regression Growth",929
DbtLTReducedRSD%ANN,Cash Flow Statement,Financing,"Long Term Debt Reduced, Ten Year Relative Standard Deviation",929
DbtLTReducedRSD%TTM,Cash Flow Statement,Financing,"Long Term Debt Reduced, Five Year Relative Standard Deviation",929
DbtLTReducedTTM,Cash Flow Statement,Financing,"Long Term Debt Reduced, Trailing 12 Months",929
DivPaid%AssetsA,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), % of Annual Assets",1225
DivPaid%AssetsQ,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), % of Quarterly Assets",1225
DivPaid%SalesA,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), % of Annual Sales",1225
DivPaid%SalesQ,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), % of Quarterly Sales",1225
DivPaid3YAvg,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Three Year Average",1225
DivPaid5YAvg,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Five Year Average",1225
DivPaidA,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Latest Year",1225
DivPaidGr%10Y,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Ten Year Annualized Growth",1225
DivPaidGr%3Y,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Three Year Annualized Growth",1225
DivPaidGr%5Y,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Five Year Annualized Growth",1225
DivPaidGr%A,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Growth Annual",1225
DivPaidGr%PQ,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Q vs Previous Q Growth",1225
DivPaidGr%PQTTM,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Trailing Twelve Months Growth 1Q Ago",1225
DivPaidGr%PYQ,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Q vs 1 year ago Q Growth",1225
DivPaidGr%TTM,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Trailing Twelve Months Growth",1225
DivPaidPQ,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Previous Quarter",1225
DivPaidPSA,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Annual Per Share",1225
DivPaidPSQ,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Quarterly Per Share",1225
DivPaidPTM,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Previous Trailing 12 Months",1225
DivPaidPY,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Previous Year",1225
DivPaidPYQ,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Previous Quarter 1 Year Ago",1225
DivPaidQ,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Latest Quarter",1225
DivPaidRegEstANN,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Ten Year Regression Estimate",1225
DivPaidRegEstTTM,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Five Year Regression Estimate",1225
DivPaidRegGr%ANN,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Ten Year Regression Estimate",1225
DivPaidRegGr%TTM,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Five Year Regression Growth",1225
DivPaidRSD%ANN,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Ten Year Relative Standard Deviation",1225
DivPaidRSD%TTM,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Five Year Relative Standard Deviation",1225
DivPaidTTM,Cash Flow Statement,Financing,"Dividends Paid (Total Cash Flow), Trailing 12 Months",1225
EqIssued%AssetsA,Cash Flow Statement,Financing,"Equity Issued, % of Annual Assets",934
EqIssued%AssetsQ,Cash Flow Statement,Financing,"Equity Issued, % of Quarterly Assets",934
EqIssued%SalesA,Cash Flow Statement,Financing,"Equity Issued, % of Annual Sales",934
EqIssued%SalesQ,Cash Flow Statement,Financing,"Equity Issued, % of Quarterly Sales",934
EqIssued3YAvg,Cash Flow Statement,Financing,"Equity Issued, Three Year Average",934
EqIssued5YAvg,Cash Flow Statement,Financing,"Equity Issued, Five Year Average",934
EqIssuedA,Cash Flow Statement,Financing,"Equity Issued, Latest Year",934
EqIssuedGr%10Y,Cash Flow Statement,Financing,"Equity Issued, Ten Year Annualized Growth",934
EqIssuedGr%3Y,Cash Flow Statement,Financing,"Equity Issued, Three Year Annualized Growth",934
EqIssuedGr%5Y,Cash Flow Statement,Financing,"Equity Issued, Five Year Annualized Growth",934
EqIssuedGr%A,Cash Flow Statement,Financing,"Equity Issued, Growth Annual",934
EqIssuedGr%PQ,Cash Flow Statement,Financing,"Equity Issued, Q vs Previous Q Growth",934
EqIssuedGr%PQTTM,Cash Flow Statement,Financing,"Equity Issued, Trailing Twelve Months Growth 1Q Ago",934
EqIssuedGr%PYQ,Cash Flow Statement,Financing,"Equity Issued, Q vs 1 year ago Q Growth",934
EqIssuedGr%TTM,Cash Flow Statement,Financing,"Equity Issued, Trailing Twelve Months Growth",934
EqIssuedPQ,Cash Flow Statement,Financing,"Equity Issued, Previous Quarter",934
EqIssuedPSA,Cash Flow Statement,Financing,"Equity Issued, Annual Per Share",934
EqIssuedPSQ,Cash Flow Statement,Financing,"Equity Issued, Quarterly Per Share",934
EqIssuedPTM,Cash Flow Statement,Financing,"Equity Issued, Previous Trailing 12 Months",934
EqIssuedPY,Cash Flow Statement,Financing,"Equity Issued, Previous Year",934
EqIssuedPYQ,Cash Flow Statement,Financing,"Equity Issued, Previous Quarter 1 Year Ago",934
EqIssuedQ,Cash Flow Statement,Financing,"Equity Issued, Latest Quarter",934
EqIssuedRegEstANN,Cash Flow Statement,Financing,"Equity Issued, Ten Year Regression Estimate",934
EqIssuedRegEstTTM,Cash Flow Statement,Financing,"Equity Issued, Five Year Regression Estimate",934
EqIssuedRegGr%ANN,Cash Flow Statement,Financing,"Equity Issued, Ten Year Regression Estimate",934
EqIssuedRegGr%TTM,Cash Flow Statement,Financing,"Equity Issued, Five Year Regression Growth",934
EqIssuedRSD%ANN,Cash Flow Statement,Financing,"Equity Issued, Ten Year Relative Standard Deviation",934
EqIssuedRSD%TTM,Cash Flow Statement,Financing,"Equity Issued, Five Year Relative Standard Deviation",934
EqIssuedTTM,Cash Flow Statement,Financing,"Equity Issued, Trailing 12 Months",934
EqPurch%AssetsA,Cash Flow Statement,Financing,"Equity Purchased, % of Annual Assets",935
EqPurch%AssetsQ,Cash Flow Statement,Financing,"Equity Purchased, % of Quarterly Assets",935
EqPurch%SalesA,Cash Flow Statement,Financing,"Equity Purchased, % of Annual Sales",935
EqPurch%SalesQ,Cash Flow Statement,Financing,"Equity Purchased, % of Quarterly Sales",935
EqPurch3YAvg,Cash Flow Statement,Financing,"Equity Purchased, Three Year Average",935
EqPurch5YAvg,Cash Flow Statement,Financing,"Equity Purchased, Five Year Average",935
EqPurchA,Cash Flow Statement,Financing,"Equity Purchased, Latest Year",935
EqPurchGr%10Y,Cash Flow Statement,Financing,"Equity Purchased, Ten Year Annualized Growth",935
EqPurchGr%3Y,Cash Flow Statement,Financing,"Equity Purchased, Three Year Annualized Growth",935
EqPurchGr%5Y,Cash Flow Statement,Financing,"Equity Purchased, Five Year Annualized Growth",935
EqPurchGr%A,Cash Flow Statement,Financing,"Equity Purchased, Growth Annual",935
EqPurchGr%PQ,Cash Flow Statement,Financing,"Equity Purchased, Q vs Previous Q Growth",935
EqPurchGr%PQTTM,Cash Flow Statement,Financing,"Equity Purchased, Trailing Twelve Months Growth 1Q Ago",935
