function_name,group,subgroup,english,item_type,short_desc,params,time_code,doc_id
CashFrFin,Cash Flow Statement,Financing,Cash From Financing,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,924
ChangeDebt,Cash Flow Statement,Financing,Change to Debt,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,926
ChangeEq,Cash Flow Statement,Financing,Change to Equity,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,927
EqIssued,Cash Flow Statement,Financing,Equity Issued,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,934
EqPurch,Cash Flow Statement,Financing,Equity Purchased,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,935
DbtLTIssued,Cash Flow Statement,Financing,Long Term Debt Issued,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,928
DbtLTReduced,Cash Flow Statement,Financing,Long Term Debt Reduced,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,929
DivPaid,Cash Flow Statement,Financing,Dividends Paid (Total Cash Flow),STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1225
Divest,Cash Flow Statement,Investing,Divestitures,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,932
CashFrInvest,Cash Flow Statement,Investing,Cash from Investing,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,925
CapEx,Cash Flow Statement,Investing,Capital Expenditures (CapEx),STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,923
Acquis,Cash Flow Statement,Investing,Acquisitions,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,922
InvstOther,Cash Flow Statement,Investing,Other Investing Cash Flow,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,937
InvtyChg,Cash Flow Statement,Operating,Change to Inventory,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,938
TxAcrudChg,Cash Flow Statement,Operating,Change in Accrued Income Taxes,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,947
TxDfd,Cash Flow Statement,Operating,Deferred Taxes,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,948
AccruedExp,Cash Flow Statement,Operating,Change to Accrued Liabilities (Accrued Expenses),STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1336
DepAmortCF,Cash Flow Statement,Operating,"Depreciation and Amort, Cash Flow",STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,931
RecvblChg,Cash Flow Statement,Operating,Change to Accounts Receivables,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,944
PayablesChg,Cash Flow Statement,Operating,Change to Payables (Accounts Payable),STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,943
OtherWCChg,Cash Flow Statement,Operating,Change to Other Working Capital Lines,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,942
OperCashFl,Cash Flow Statement,Operating,Operating Cash Flow from Operations,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,941
NetIncCFStmt,Cash Flow Statement,Operating,Net Income (Cash Flow Statement),STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,940
NetChgCash,Cash Flow Statement,Summary,Net Change to Cash Position,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,939
FCF,Cash Flow Statement,Summary,Free Cash Flow,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,988
CashFl,Cash Flow Statement,Summary,Cash Flow,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1259
NetFCF,Cash Flow Statement,Summary,Net Free Cash Flow,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM","offset,type",,1381
ConsEstStdDev,Estimates,Estimate Functions,Consensus Standard Deviation,FUNC,Standard Deviation of analysts estimates,"cons_item [, period, weekAgo]",,1350
ConsEstRSD,Estimates,Estimate Functions,Consensus Relative Standard Deviation,FUNC,Relative Standard Deviation of analysts estimates in percentage,"cons_item [, period, weekAgo]",,1350
ConsEstCnt,Estimates,Estimate Functions,Consensus Count,FUNC,Number of analysts providing estimates for an item,"cons_item [, period, weekAgo]",,1350
ConsEstDn,Estimates,Estimate Functions,Consensus Down,FUNC,Number of analysts revising estimate down in past 75 days,"cons_item [, period, weekAgo]",,1350
ConsEstHi,Estimates,Estimate Functions,Consensus High,FUNC,Consensus highest estimate,"cons_item [, period, weekAgo]",,1350
ConsEstLow,Estimates,Estimate Functions,Consensus Low,FUNC,Consensus lowest estimate,"cons_item [, period, weekAgo]",,1350
ConsEstMean,Estimates,Estimate Functions,Consensus Mean,FUNC,Average of analyst estimates,"cons_item [, period, weekAgo]",,1350
ConsEstMedian,Estimates,Estimate Functions,Consensus Median,FUNC,Median of analyst estimates,"cons_item [, period, weekAgo]",,1350
ConsEstUp,Estimates,Estimate Functions,Consensus Up,FUNC,Number of analysts revising estimate up in past 75 days,"cons_item [, period, weekAgo]",,1350
SalesEst,Estimates,Historical,Historical Sales Estimate,FUNC,Historical Sales Estimate,"offset, type",,0
EPSEst,Estimates,Historical,Historical EPS Estimate,FUNC,Historical mean EPS estimate.,"offset, type",,1122
EPSHistEstSD,Estimates,Historical,Historical Estimate Standard Deviation,FUNC,Historical EPS Estimate Standard Deviation,"offset, type",,0
SalesHistEstSD,Estimates,Historical,Historical Estimate Standard Deviation,FUNC,Historical Sales Estimate Standard Deviation,"offset, type",,0
SalesHistEstCnt,Estimates,Historical,Historical Estimate Number of Analysts,FUNC,Historical Sales Estimate Number of Analysts,"offset, type",,0
EPSHistEstCnt,Estimates,Historical,Historical Estimate Number of Analysts,FUNC,Historical EPS Estimate Number of Analysts,"offset, type",,0
ConsRec,Estimates,Recs & Opinions,Recommendation Function,FUNC,Consensus recommendation,"rec_stat [, weekAgo]",,1353
EPSSurprise,Estimates,Surprises,Analyst EPS Surprise,FUNC,EPS surprise (Est vs. Actual),"offset, type",,1123
SalesSurprise,Estimates,Surprises,Analyst Sales Surprise,FUNC,Sales Surprise in %,"offset, type",,1123
EPSSUE,Estimates,Surprises,Unexpected Earnings (SUE),FUNC,Standardized Unexpected Earnings general formula,"offset, type [, constraint]",,1402
SalesSUS,Estimates,Surprises,Unexpected Sales (SUS),FUNC,Standardized Unexpected Sales general formula,"offset, type [, constraint]",,1402
CostG_GAAP,Financials,Income Statement,Cost of Goods Sold GAAP,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,949
SGandA_GAAP,Financials,Income Statement,"Sales, General and Admin Exp GAAP",STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1066
GrossProfit_GAAP,Financials,Income Statement,Gross Profit GAAP,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1063
PfdDiv,Financials,Income Statement,"Preferred Dividends Paid, Total",STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,972
IntExp,Financials,Income Statement,Interest Expense,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,971
IntInc,Financials,Income Statement,Interest Income,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,970
RandD,Financials,Income Statement,Research and Development Expense,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,979
Sales,Financials,Income Statement,Sales (Revenues),STMT_FACTOR_BAL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1065
NetIncBXor,Financials,Income Statement,Net Income Before Xor,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,974
NetIncBXorNonC,Financials,Income Statement,Net Income Before Xor and Non-Control Interest,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,975
OpInc,Financials,Income Statement,Operating Income,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,976
OpIncAftDepr,Financials,Income Statement,Operating Income After Depreciation,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,977
OpIncBDepr,Financials,Income Statement,Operating Income Before Depreciation,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,978
SGandA,Financials,Income Statement,"Sales, General and Admin Exp",STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1066
SpcItems,Financials,Income Statement,Special Items,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,981
TxRate%,Financials,Income Statement,Tax Rate,STMT_FACTOR_FUNC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,982
ExpNonOp,Financials,Income Statement,Non-Operating Expenses,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,955
EBIT,Financials,Income Statement,Earnings Before Interest and Taxes (EBIT),STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,956
EBITDA,Financials,Income Statement,"Earnings Before Interest, Taxes, Dep and Amort (EBITDA)",STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,957
GrossProfit,Financials,Income Statement,Gross Profit,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1063
FundsFromOp,Financials,Income Statement,Funds From Operations (FFO),STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1196
DepAmort,Financials,Income Statement,Depreciation and Amortization,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,950
IAC,Financials,Income Statement,Income Available to Common,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,959
IncAftTax,Financials,Income Statement,Income After Taxes,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,962
IncBTax,Financials,Income Statement,Income Before Taxes,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,963
IncBXorAdjCSE,Financials,Income Statement,Income Before Xor Items Adj for Common,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,965
IncBXorForCom,Financials,Income Statement,Income Before Xor Items Avail for Common,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,966
IncTaxExp,Financials,Income Statement,Income Tax Expense,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1064
CostG,Financials,Income Statement,Cost of Goods Sold,STMT_FACTOR_INC,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,949
Amort,Financials,Income Statement,Amortization of Intangibles,STMT_FACTOR_ALL,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,1396
SalesActual,Fundamentals,Actuals,Sales Actual,FUNC,Historical (Actual) Sales,"offset, type",,1079
EPSActual,Fundamentals,Actuals,EPS Actual,FUNC,Historical (Actual) EPS,"offset, type",,1079
ActualGr%PQ,Fundamentals,Actuals,Actual Functions,FUNC,,actual_item,Growth Q,1079
ActualGr%PYQ,Fundamentals,Actuals,Actual Functions,FUNC,,actual_item,Growth PYQ,1079
ActualGr%TTM,Fundamentals,Actuals,Actual Functions,FUNC,,actual_item,Growth TTM,1079
EBITDAActual,Fundamentals,Actuals,EBITDA Actual,FUNC,EBITDA Actual function,"offset, type",,1079
ActualGr%A,Fundamentals,Actuals,Actual Functions,FUNC,,actual_item,Growth Annual,1079
Actual,Fundamentals,Actuals,Actual Functions,FUNC,,"actual_item, offset, type",,1079
ActualQ,Fundamentals,Actuals,Actual Functions,FUNC,,actual_item,Latest Quarter,1079
ActualPQ,Fundamentals,Actuals,Actual Functions,FUNC,,actual_item,Previous Quarter,1079
ActualPYQ,Fundamentals,Actuals,Actual Functions,FUNC,,actual_item,Previous Quarter 1 Year Ago,1079
ActualTTM,Fundamentals,Actuals,Actual Functions,FUNC,,actual_item,Trailing 12 Months,1079
ActualPTM,Fundamentals,Actuals,Actual Functions,FUNC,,actual_item,Previous Trailing 12 Months,1079
ActualA,Fundamentals,Actuals,Actual Functions,FUNC,,actual_item,Latest Year,1079
ActualPY,Fundamentals,Actuals,Actual Functions,FUNC,,actual_item,Previous Year,1079
NoEmp,Fundamentals,Company,Number of employees,STMT_FACTOR_FUNCA,"Function parameters (see Full Description for more):\n<i>offset</i>: 0-20 (interim) 0-10 (annual)\n<i>type</i>: QTR,ANN,TTM\n<i>NAHandling</i>: FALLBACK,KEEPNA,ZERONA","offset,type[,NAHandling]",,0
ExchCountry,Fundamentals,Company,Exchange Country,FUNC,"Returns 1 (TRUE) if the country of the exchange where the security trades matches any of the countries whose codes are specified, 0 (FALSE) otherwise. Use commas or spaces to separate your list of up to 20 codes. See Full Description for a list of country codes.","cid,cid,cid,...",,1392
Country,Fundamentals,Company,Country of domicile,FUNC,"Returns 1(TRUE) if the country of domicile matches any of the countries whose codes are specified,  0 (FALSE) otherwise. Use commas or spaces to separate your list of up to 20 codes. See Full Description for a list country codes.","cid,cid,cid,...",,1403
SplitCount,Fundamentals,Corporate Actions,Splits,FUNC,Returns the number of splits in the past or future number of days,days,,1246
SplitFactor,Fundamentals,Corporate Actions,Splits,FUNC,Returns the compounded split ratio in the past or future number of days,days,,1245
Splits,Fundamentals,Corporate Actions,Splits,FUNC,Returns the compounded split ratio in the past or future number of days. Set the second parameter to TRUE to return the number of splits.,"days [,countFlag]",,831
PendingCorpAct,Fundamentals,Corporate Actions,Corporate Actions (ICE Data),FUNC,"Returns TRUE (1) if at least one corporate action is found, or FALSE(0)","ca_type [, ca_retvalue]",,1330
PastCorpAct,Fundamentals,Corporate Actions,Corporate Actions (ICE Data),FUNC,"Returns TRUE (1) if at least one completed or expired corporate action is found, or FALSE(0)","ca_type [, ca_status, lookback, ca_retvalue]",,1330
DivPS,Fundamentals,Dividends,Dividends in a Filing Period,FUNC,Returns the sum (or count) of the dividends per share that were paid in the period specified. By default it returns the sum of REGULAR dividends using EX DATES. See Full description for details.,"offset,type [,div_type , div_dt, cnt_flag]",,1252
DivPSDays,Fundamentals,Dividends,Dividends in a Time Period,FUNC,Sum or count of the dividends paid in the past number of days. By default it sums regular dividends with ex-dates in the period. See the full description for more details.,"days [,offset,div_type,div_dt, cnt_flag]",,1253
InsiderBuySh12M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Shares bought by insiders past 12 months (in millions),mo_offset,,1329
InsiderBuySh1M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Shares bought by insiders past 1 month (in millions),mo_offset,,1329
InsiderBuySh3M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Shares bought by insiders past 3 months (in millions),mo_offset,,1329
InsiderBuySh6M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Shares bought by insiders past 6 months (in millions),mo_offset,,1329
InsiderBuyTran12M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Buy transactions by insiders past 12 months (in millions),mo_offset,,1329
InsiderBuyTran1M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Buy transactions by insiders past 1 month (in millions),mo_offset,,1329
InsiderBuyTran3M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Buy transactions by insiders past 3 months (in millions),mo_offset,,1329
InsiderBuyTran6M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Buy transactions by insiders past 6 months (in millions),mo_offset,,1329
InsiderSellSh12M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Shares sold by insiders past 12 months (in millions),mo_offset,,1329
InsiderSellSh1M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Shares sold by insiders past 1 month (in millions),mo_offset,,1329
InsiderSellSh3M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Shares sold by insiders past 3 months (in millions),mo_offset,,1329
InsiderSellSh6M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Shares sold by insiders past 6 months (in millions),mo_offset,,1329
InsiderSellTran12M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Sell transactions by insiders past 12 months,mo_offset,,1329
InsiderSellTran1M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Sell transactions by insiders past 1 month,mo_offset,,1329
InsiderSellTran3M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Sell transactions by insiders past 3 months,mo_offset,,1329
InsiderSellTran6M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Sell transactions by insiders past 6 months,mo_offset,,1329
InsiderUniqBuy1M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Unique number of insiders buying past 1 month,mo_offset,,1329
InsiderUniqBuy3M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Unique number of insiders buying past 3 months,mo_offset,,1329
InsiderUniqSell1M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Unique number of insiders selling past 1 month,mo_offset,,1329
InsiderUniqSell3M,Fundamentals,Insider & Institutional,Insider Functions,FUNC,Unique number of insiders selling past 3 months,mo_offset,,1329
InstitutionalBuyers,Fundamentals,Insider & Institutional,Institutional Functions,FUNC,The number of investors who purchased shares of the company during the period,period_offset,,1328
InstitutionalClosed,Fundamentals,Insider & Institutional,Institutional Functions,FUNC,The number of investors who sold all shares and closed their holding position in the company during the period,period_offset,,1328
InstitutionalHolders,Fundamentals,Insider & Institutional,Institutional Functions,FUNC,The total number of investors who own shares of the company,period_offset,,1328
InstitutionalNewBuyers,Fundamentals,Insider & Institutional,Institutional Functions,FUNC,The number of investors who opened a new position in the company by purchasing shares during the period,period_offset,,1328
InstitutionalPctChg,Fundamentals,Insider & Institutional,Institutional Functions,FUNC,The net shares changed as a percent of shares outstanding,period_offset,,1328
InstitutionalPctOwn,Fundamentals,Insider & Institutional,Institutional Functions,FUNC,The percentage of shares outstanding of the company owned by institutional shareholders,period_offset,,1328
InstitutionalSellers,Fundamentals,Insider & Institutional,Institutional Functions,FUNC,The number of investors who sold shares of the company during the period,period_offset,,1328
